id,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,duration_mins,genre
641,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
642,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
643,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
644,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,1XMw3pBrYeXzNXZXc84DNw,171374,11/06/2020,85,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c,2.856233333,TIKTOK DANCE
645,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,1XMw3pBrYeXzNXZXc84DNw,171374,11/06/2020,85,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c,2.856233333,TIKTOK DANCE
646,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,1XMw3pBrYeXzNXZXc84DNw,171374,11/06/2020,85,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c,2.856233333,TIKTOK DANCE
647,0PF2jauXrGdbvyxqdgaBsh,We All Tryna F*** - Radio Edit,3OSgdAn71VXZTRHjkogZc5,Ysl Jalen,4Kk0TryQVAkxLl2md17kJT,158288,22/07/2020,34,0.942,0.265,1,-14.427,1,0.572,0.265,0,0.0762,0.621,129.943,0PF2jauXrGdbvyxqdgaBsh,0PF2jauXrGdbvyxqdgaBsh,2.638133333,TIKTOK DANCE
648,0wYOlCybpxFc2azWLyYj0S,Lets Link,5KYEMMz9O9iLIESifKAEOp,WhoHeem,6TMpupw6nxhmdIG1RrCUT5,159955,20/08/2020,4,0.839,0.683,10,-9.232,0,0.165,0.00667,0,0.241,0.522,120.003,0wYOlCybpxFc2azWLyYj0S,0wYOlCybpxFc2azWLyYj0S,2.665916667,TIKTOK DANCE
649,0wYOlCybpxFc2azWLyYj0S,Lets Link,5KYEMMz9O9iLIESifKAEOp,WhoHeem,6TMpupw6nxhmdIG1RrCUT5,159955,20/08/2020,4,0.839,0.683,10,-9.232,0,0.165,0.00667,0,0.241,0.522,120.003,0wYOlCybpxFc2azWLyYj0S,0wYOlCybpxFc2azWLyYj0S,2.665916667,TIKTOK DANCE
650,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,6PBZN8cbwkqm1ERj2BGXJ1,386906,2012,76,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,2HbKqm4o0w5wEeEFXm2sD4,2HbKqm4o0w5wEeEFXm2sD4,6.448433333,TIKTOK DANCE
651,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,6PBZN8cbwkqm1ERj2BGXJ1,386906,2012,76,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,2HbKqm4o0w5wEeEFXm2sD4,2HbKqm4o0w5wEeEFXm2sD4,6.448433333,TIKTOK DANCE
652,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,6PBZN8cbwkqm1ERj2BGXJ1,386906,2012,76,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,2HbKqm4o0w5wEeEFXm2sD4,2HbKqm4o0w5wEeEFXm2sD4,6.448433333,TIKTOK DANCE
653,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,6PBZN8cbwkqm1ERj2BGXJ1,386906,2012,76,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,2HbKqm4o0w5wEeEFXm2sD4,2HbKqm4o0w5wEeEFXm2sD4,6.448433333,TIKTOK DANCE
654,0zO8ctW0UiuOefR87OeJOZ,Collard Greens,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,7Et3bSTLLqdABO1qCxUplS,299960,01/01/2014,74,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94E-06,0.205,0.65,153.954,0zO8ctW0UiuOefR87OeJOZ,0zO8ctW0UiuOefR87OeJOZ,4.999333333,TIKTOK DANCE
655,23LAuKGYTIW6rrCiZqvDZG,Back It Up,5AK2gJtEA2SWI9lBywSZjN,Trap Beckham,5JEiyCKJvndbtLtj9fSmA3,185318,28/02/2020,44,0.883,0.546,8,-3.793,1,0.142,0.0107,0.0015,0.073,0.916,143.998,23LAuKGYTIW6rrCiZqvDZG,23LAuKGYTIW6rrCiZqvDZG,3.088633333,TIKTOK DANCE
656,2FVMbLuIxo0dz3KLXgN6Jh,24,3Rx4PJ7SP6unkOk5elPUK7,Money Man,3RxpooDT1k9yceUKmArDXD,160952,02/03/2020,71,0.842,0.715,2,-6.03,1,0.0912,0.0265,0.0554,0.0831,0.428,126.021,2FVMbLuIxo0dz3KLXgN6Jh,2FVMbLuIxo0dz3KLXgN6Jh,2.682533333,TIKTOK DANCE
657,2FVMbLuIxo0dz3KLXgN6Jh,24,3Rx4PJ7SP6unkOk5elPUK7,Money Man,3RxpooDT1k9yceUKmArDXD,160952,02/03/2020,71,0.842,0.715,2,-6.03,1,0.0912,0.0265,0.0554,0.0831,0.428,126.021,2FVMbLuIxo0dz3KLXgN6Jh,2FVMbLuIxo0dz3KLXgN6Jh,2.682533333,TIKTOK DANCE
658,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),45TgXXqMDdF8BkjA83OM7z,Rod Wave,5zCvAq0MLqUv0vE96iMbv2,167183,03/04/2020,71,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,1ENdcyhqdylaLsPVgB83qq,1ENdcyhqdylaLsPVgB83qq,2.786383333,TIKTOK DANCE
659,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),45TgXXqMDdF8BkjA83OM7z,Rod Wave,5zCvAq0MLqUv0vE96iMbv2,167183,03/04/2020,71,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,1ENdcyhqdylaLsPVgB83qq,1ENdcyhqdylaLsPVgB83qq,2.786383333,TIKTOK DANCE
660,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),45TgXXqMDdF8BkjA83OM7z,Rod Wave,5zCvAq0MLqUv0vE96iMbv2,167183,03/04/2020,71,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,1ENdcyhqdylaLsPVgB83qq,1ENdcyhqdylaLsPVgB83qq,2.786383333,TIKTOK DANCE
661,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),45TgXXqMDdF8BkjA83OM7z,Rod Wave,5zCvAq0MLqUv0vE96iMbv2,167183,03/04/2020,71,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,1ENdcyhqdylaLsPVgB83qq,1ENdcyhqdylaLsPVgB83qq,2.786383333,TIKTOK DANCE
662,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),45TgXXqMDdF8BkjA83OM7z,Rod Wave,5zCvAq0MLqUv0vE96iMbv2,167183,03/04/2020,71,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,1ENdcyhqdylaLsPVgB83qq,1ENdcyhqdylaLsPVgB83qq,2.786383333,TIKTOK DANCE
663,12hVQgYR254ZziANtiKVWQ,Hatchback,46HzS7yz0c9udVwtbHk1sx,Cochise,1GqVf0wkVpT32Mxj7NGxpL,149145,23/09/2019,69,0.734,0.692,2,-6.227,0,0.0555,0.0221,0,0.224,0.348,77.994,12hVQgYR254ZziANtiKVWQ,12hVQgYR254ZziANtiKVWQ,2.48575,TIKTOK DANCE
664,12hVQgYR254ZziANtiKVWQ,Hatchback,46HzS7yz0c9udVwtbHk1sx,Cochise,1GqVf0wkVpT32Mxj7NGxpL,149145,23/09/2019,69,0.734,0.692,2,-6.227,0,0.0555,0.0221,0,0.224,0.348,77.994,12hVQgYR254ZziANtiKVWQ,12hVQgYR254ZziANtiKVWQ,2.48575,TIKTOK DANCE
665,2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),699OTQXzgjhIYAHMy9RyPD,Playboi Carti,7dAm8ShwJLFm9SaJ6Yc58O,153800,11/05/2018,78,0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,2BJSMvOGABRxokHKB0OI8i,2BJSMvOGABRxokHKB0OI8i,2.563333333,TIKTOK DANCE
